nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
"Pregunta P5.2.8 Hasta los 11 años, ¿quién o quiénes vivían con usted en su vivienda? - Otro(s) no familiar(es)",1,C,p5_2_8,p5_2_8,"1,2,9",,,
"Pregunta P5.3.1 Durante su infancia (hasta los 11 años), ¿alguna vez le hicieron sentirse diferente a la mayoría de las(os) niñas(os) de su edad por su forma de vestirse o arreglarse?",1,C,p5_3_1,p5_3_1,"1,2",,,
"Pregunta P5.3.2 Durante su infancia (hasta los 11 años), ¿alguna vez le hicieron sentirse diferente a la mayoría de las(os) niñas(os) de su edad por sus gustos o intereses?",1,C,p5_3_2,p5_3_2,"1,2",,,
"Pregunta P5.3.3 Durante su infancia (hasta los 11 años), ¿alguna vez le hicieron sentirse diferente a la mayoría de las(os) niñas(os) de su edad por su forma de hablar o expresarse?",1,C,p5_3_3,p5_3_3,"1,2",,,
"Pregunta P5.3.4 Durante su infancia (hasta los 11 años), ¿alguna vez le hicieron sentirse diferente a la mayoría de las(os) niñas(os) de su edad por sus modos o manera de comportarse?",1,C,p5_3_4,p5_3_4,"1,2",,,
"Pregunta P5.4.1 Durante su infancia (hasta los 11 años), por molestarla(o) o hacerle sentir mal, ¿alguna vez le rechazaron o excluyeron de actividades sociales?",1,C,p5_4_1,p5_4_1,"1,2",,,
"Pregunta P5.4.2 Durante su infancia (hasta los 11 años), por molestarla(o) o hacerle sentir mal, ¿alguna vez le insultaron, se burlaron o le dijeron cosas que le ofendían?",1,C,p5_4_2,p5_4_2,"1,2",,,
"Pregunta P5.4.3 Durante su infancia (hasta los 11 años), por molestarla(o) o hacerle sentir mal, ¿alguna vez le robaron, escondieron o rompieron sus pertenencias?",1,C,p5_4_3,p5_4_3,"1,2",,,
"Pregunta P5.4.4 Durante su infancia (hasta los 11 años), por molestarla(o) o hacerle sentir mal, ¿alguna vez le amenazaron o chantajearon?",1,C,p5_4_4,p5_4_4,"1,2",,,
"Pregunta P5.4.5 Durante su infancia (hasta los 11 años), por molestarla(o) o hacerle sentir mal, ¿alguna vez le empujaron, jalonearon o golpearon?",1,C,p5_4_5,p5_4_5,"1,2",,,
Pregunta P7.1 ¿Cuál es su sexo asignado al nacer?,1,C,p7_1,p7_1,"1,2",,,
"Pregunta P7.1A ¿Usted nació con alguna variación en su cuerpo referente a su sexo, como en genitales, niveles hormonales u otro?",1,C,p7_1a,p7_1a,"1...3,9",,,
Pregunta P7.2 ¿Qué edad tenía cuando sintió gusto o atracción física por primera vez por una persona?,2,C,p7_2,p7_2,"00...70,98,99",,,
"Pregunta P7.3 ¿Qué edad tenía cuando tuvo su primer encuentro con alguien donde haya habido besos o caricias, y que usted estuviera de acuerdo?",2,C,p7_3,p7_3,"00...63,98,99",,,
Pregunta P7.4.1 ¿Esta persona fue hombre?,1,C,p7_4_1,p7_4_1,"1,2",,,
Pregunta P7.4.2 ¿Esta persona fue mujer?,1,C,p7_4_2,p7_4_2,"1,2",,,
Pregunta P7.4.3 ¿Esta persona fue otro?,1,C,p7_4_3,p7_4_3,"1,2",,,
Pregunta P7.5 ¿A qué edad tuvo su primera relación sexual?,2,C,p7_5,p7_5,"00...84,98,99",,,
Pregunta P7.6.1 ¿La persona con quien tuvo su primera relación sexual fue hombre?,1,C,p7_6_1,p7_6_1,"1,2",,,
Pregunta P7.6.2 ¿La persona con quien tuvo su primera relación sexual fue mujer?,1,C,p7_6_2,p7_6_2,"1,2",,,
