p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,22,8,4,,,,1,2,,,,2,1,1,2,2,3
2,50,3,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,49,5,2,1.0,,,2,2,,,2.0,2,2,1,2,4,4
2,36,3,3,,,,2,2,,,,2,2,1,1,4,4
2,21,8,1,1.0,,,1,2,2.0,2.0,,1,1,1,3,4,2
2,71,2,6,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
1,42,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,1
2,68,8,5,,,,2,2,,,,1,1,1,2,4,5
2,73,4,4,5.0,,,2,2,,,,2,1,1,1,4,5
2,66,3,3,,,,2,2,,,,1,1,2,1,1,4
1,34,10,3,1.0,,,1,2,1.0,2.0,,1,1,3,2,4,1
1,27,6,3,1.0,2.0,,2,2,2.0,2.0,,2,2,1,1,4,4
2,68,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,4,4,4
2,63,3,3,,,,2,2,,,,2,1,1,1,2,5
1,30,10,2,1.0,,,2,2,2.0,2.0,,2,1,1,2,2,2
2,60,8,4,6.0,,,2,2,,,,1,1,1,1,2,2
2,67,2,6,,,,2,2,2.0,2.0,,2,2,1,2,4,5
2,26,10,2,5.0,,,2,2,1.0,2.0,,1,1,1,1,2,3
2,88,2,6,,,,2,2,,,,2,2,1,3,4,5
2,62,2,6,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,85,2,6,,,,2,2,,,,1,2,1,1,4,5
2,81,2,4,,,,2,2,,,,2,1,1,1,4,5
2,50,6,3,5.0,,,2,2,,,,1,2,1,1,2,4
2,50,2,4,1.0,,,2,2,,,,2,2,1,1,4,4
2,50,8,2,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,48,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,37,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,92,2,3,,,,2,2,,,,2,2,1,1,5,5
2,56,5,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,18,3,3,6.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,43,8,5,1.0,,,2,2,,,,2,1,1,1,4,2
2,48,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,3
2,44,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,17,6,2,,,,2,2,2.0,2.0,,2,2,1,1,4,2
1,33,6,3,1.0,,,2,2,2.0,1.0,,1,1,1,1,4,2
2,29,6,3,,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,67,4,3,,,,2,2,,,,1,1,1,1,3,5
2,73,5,3,,,,2,2,,,,2,1,1,1,2,5
2,37,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
1,30,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
1,29,6,3,1.0,2.0,2.0,2,2,2.0,2.0,2.0,1,1,1,1,1,2
2,73,2,6,,,,2,2,,,,2,2,1,1,4,3
2,42,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,38,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,49,3,3,5.0,,,2,2,,,,2,2,1,1,4,4
2,46,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,77,2,5,,,,2,2,,,,2,2,1,1,4,5
1,25,6,3,5.0,2.0,,2,2,1.0,1.0,,2,2,1,1,4,2
2,73,8,5,,,,2,2,,,,1,1,1,1,4,5
2,70,2,6,,,,2,2,,,,2,2,1,1,4,5
2,30,8,4,1.0,2.0,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,33,2,6,,,,2,2,,,,2,2,1,1,4,5
2,64,8,5,,,,2,2,,,,2,2,1,1,4,5
2,25,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,3,4,2
2,73,2,2,,,,2,2,,,,1,1,2,1,4,5
2,42,3,3,1.0,2.0,,2,2,,,,2,2,1,1,4,3
2,72,2,6,5.0,,,2,2,,,,1,2,1,1,4,4
2,57,6,3,,,,2,2,,,,2,2,1,1,2,5
2,39,8,4,,,,2,2,,,,1,1,1,1,4,5
1,24,8,2,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,2
1,27,8,4,1.0,,,1,2,1.0,2.0,,1,1,1,2,4,3
2,35,2,6,1.0,,,2,2,3.0,3.0,,2,2,1,1,4,4
2,20,8,2,,,,2,2,,,,1,1,1,1,3,2
2,66,2,2,,,,2,2,,,2.0,1,1,1,1,1,5
2,55,5,3,,,,2,2,,,,2,2,1,1,4,5
2,68,8,5,,,,2,2,,,,2,2,1,1,2,5
2,22,8,3,6.0,,,1,2,2.0,2.0,,1,1,1,1,3,1
2,17,2,6,1.0,,2.0,2,2,,,,1,1,1,1,3,4
2,70,8,2,6.0,,,2,2,,,,2,1,1,1,3,4
2,16,6,2,5.0,,,1,2,2.0,3.0,,1,1,1,2,2,1
2,17,6,2,,,,2,2,,,,2,2,1,1,1,1
2,38,3,3,6.0,,,2,2,2.0,2.0,2.0,1,2,1,1,4,3
2,59,2,6,,,,2,2,,,,1,1,1,2,4,4
2,61,2,6,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,20,6,3,5.0,,,1,2,,,,2,1,1,2,2,3
2,60,10,2,1.0,,,2,2,2.0,2.0,,2,2,1,2,3,3
2,19,7,1,,,,2,2,,,,1,1,2,1,3,2
2,20,8,2,1.0,,,2,2,2.0,2.0,,2,1,1,1,2,1
2,40,9,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
1,26,3,3,,,,2,2,2.0,2.0,,1,1,1,3,4,4
2,61,3,3,,,,2,2,,,,2,2,1,1,4,5
