p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,67,2,6,,,,2,2,,,,2,2,1,1,1,5
2,52,2,5,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,4
1,50,3,3,1.0,,,2,2,,,,1,1,1,1,3,3
1,21,6,3,5.0,,,1,2,2.0,2.0,,1,1,1,4,9,9
2,48,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
1,52,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,34,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,26,6,3,1.0,,,2,2,1.0,1.0,,1,1,1,2,4,3
2,23,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,2,2
2,27,3,3,,,,2,2,,,,2,2,1,2,4,5
1,21,8,2,5.0,,,2,2,2.0,2.0,,1,1,1,2,2,2
2,41,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,21,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,73,2,6,5.0,,,2,2,,,2.0,2,1,1,1,4,5
2,52,5,3,,,,2,2,,,2.0,2,1,1,1,3,5
2,27,8,2,1.0,,,2,2,,,,1,2,1,2,3,2
2,42,3,3,,,,2,2,,,,2,2,1,1,3,5
2,61,2,6,,,,2,2,,,,2,2,1,4,4,4
2,59,2,6,,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,26,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,53,2,6,,,,2,2,,,2.0,2,1,1,1,2,5
2,21,3,3,1.0,,,2,2,,,,2,2,1,1,3,3
2,58,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,33,6,1,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,27,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,45,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,3,4,4
2,51,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,74,0,0,,,,2,2,,,2.0,2,2,1,2,2,5
2,66,2,2,,,,2,2,,,,2,1,1,1,4,5
2,50,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,75,10,2,,,,2,2,,,,2,1,1,1,4,5
2,35,3,3,1.0,,,2,2,,,,2,1,1,1,3,3
2,30,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,60,8,4,,,,2,2,,,2.0,1,1,1,2,4,5
1,22,8,3,5.0,1.0,,1,2,3.0,3.0,,1,1,1,2,3,3
1,46,3,2,5.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,31,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,38,3,3,5.0,,,2,2,2.0,2.0,,2,1,1,1,3,5
1,15,3,3,1.0,,,1,2,2.0,2.0,,2,1,1,2,4,4
2,20,8,1,1.0,,,2,2,1.0,2.0,,1,2,1,3,4,2
1,51,3,3,5.0,,,2,2,2.0,2.0,,1,1,1,3,1,5
2,65,6,2,,,,2,2,,,,1,2,1,1,3,5
2,21,8,1,,,,1,2,,,,2,1,1,1,3,1
2,58,2,3,,,,2,2,,,,1,2,1,1,4,5
2,29,6,3,,,,2,2,,,,2,1,1,1,3,5
2,45,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,20,8,2,,,,2,2,,,,2,1,1,1,3,3
2,38,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,27,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,60,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
1,50,2,4,1.0,,,2,2,2.0,2.0,,1,1,1,3,4,4
2,24,6,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,2
2,22,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,2
2,39,6,3,,,,2,2,,,,2,2,1,1,4,5
2,26,7,1,1.0,,,2,2,,,2.0,1,1,1,2,4,3
2,25,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,2,1,1
2,20,8,1,1.0,,,2,2,,,,2,2,1,1,3,3
2,34,6,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,21,6,3,1.0,,,2,2,1.0,2.0,,1,1,1,1,3,1
2,56,2,2,1.0,,,2,2,2.0,2.0,,1,1,1,4,4,4
2,50,2,6,1.0,,,2,2,2.0,1.0,,1,2,2,4,2,2
2,59,2,3,5.0,,,2,2,3.0,3.0,,1,1,1,3,3,5
2,31,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,4
2,53,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,20,3,3,1.0,,,2,2,,,2.0,2,2,1,4,4,4
2,44,3,3,,,,2,2,,,,2,2,1,1,3,5
2,41,3,2,1.0,,,2,2,2.0,2.0,2.0,2,2,1,2,4,4
2,22,8,3,1.0,,,1,2,2.0,2.0,,1,2,1,1,3,1
2,66,2,6,,,,2,2,,,,1,1,1,1,4,5
2,22,6,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,47,2,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,34,8,5,1.0,,,2,2,,,2.0,2,2,1,1,4,4
2,49,2,6,,,,2,2,,,,2,2,1,2,3,5
2,24,2,6,,,,2,2,,,,2,1,1,2,3,4
2,23,2,6,1.0,,,2,2,2.0,2.0,,2,1,1,2,4,2
2,42,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,22,6,2,1.0,,,2,2,,,,2,2,1,1,4,2
2,28,3,3,,,,2,2,,,,2,2,1,1,2,5
2,56,3,3,1.0,,,2,2,2.0,2.0,2.0,1,1,2,1,4,4
2,30,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,43,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,24,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,3,3,4
2,18,8,1,,,,2,2,,,,2,1,1,1,3,3
2,46,2,6,1.0,,,2,2,2.0,1.0,,1,1,1,1,3,4
2,37,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,3,4,4
2,49,3,3,,,,2,2,,,,2,2,1,1,1,4
2,34,10,2,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,62,8,4,3.0,,,2,2,3.0,3.0,,2,2,1,1,4,5
2,48,6,3,,,,2,2,,,2.0,2,1,1,2,2,5
1,55,6,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,2,2,3
1,16,6,1,,2.0,2.0,2,2,,,,1,1,1,2,1,2
2,50,7,3,5.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,2
2,41,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,1
2,57,2,6,,,,2,2,,,,2,2,1,2,4,5
2,36,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,46,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,31,6,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
1,45,2,6,,,,2,2,,,,1,1,1,1,3,5
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,37,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,71,3,2,,,,2,2,,,,2,2,1,1,4,5
2,68,3,1,,,,2,2,,,2.0,1,2,1,1,4,5
2,51,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,18,6,3,,,,2,2,,,,2,2,1,1,2,3
2,45,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,98,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,4
2,69,8,4,,,,2,2,,,,1,1,1,1,2,5
2,51,8,4,5.0,,,2,2,2.0,2.0,,1,1,1,1,2,2
2,60,2,6,,,,2,2,,,,2,2,1,1,4,5
2,20,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,2,3,3
2,61,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,23,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,37,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,1
2,28,6,1,,,,2,2,2.0,2.0,,2,1,1,1,3,1
2,35,7,1,5.0,,,2,2,2.0,2.0,,1,2,1,1,1,3
2,80,2,2,,,,2,2,,,,2,2,1,1,5,5
2,47,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,1
2,31,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,47,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,3
2,40,3,3,,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,22,6,3,,,,2,2,2.0,2.0,,1,1,1,1,2,2
2,32,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
2,30,6,3,1.0,1.0,,1,2,2.0,2.0,,1,1,1,1,3,2
2,27,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,56,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,17,6,1,,,,2,2,,,,2,2,1,1,4,3
2,42,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,23,6,3,5.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,70,2,3,,,,2,2,,,2.0,2,2,1,1,3,5
2,63,3,3,,,,2,2,1.0,2.0,,2,2,1,1,2,5
2,32,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,33,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,2,2
2,28,10,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,56,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,17,6,2,,,,2,2,,,,2,2,1,1,4,2
2,34,2,6,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,20,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,49,3,3,5.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,50,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
1,20,3,1,,,,2,2,,,,2,2,1,1,4,5
2,65,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,2
2,52,10,2,,,,2,2,,,,2,2,1,1,3,5
2,56,2,5,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,49,6,3,1.0,,,2,2,,,,2,2,1,1,2,2
2,55,3,3,,,,2,2,,,,1,1,1,2,2,5
2,24,8,5,5.0,,,2,2,3.0,2.0,,2,2,1,1,3,5
2,42,3,1,5.0,,,2,2,,,,1,2,1,1,2,5
2,51,8,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,45,6,3,,,,2,2,,,,2,2,1,1,3,5
2,66,3,3,,,,2,2,,,,2,1,1,1,2,1
2,18,2,6,,,,2,2,,,,1,1,1,1,4,4
2,48,6,3,1.0,,,2,2,,,,2,2,1,1,3,3
2,49,10,3,5.0,,,2,2,3.0,3.0,,2,2,1,1,4,3
2,21,8,3,5.0,,,2,2,,,,1,2,1,1,3,3
2,45,2,5,5.0,,,2,2,,,,2,2,1,1,4,5
1,47,2,4,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,4
2,16,3,3,5.0,,,2,2,2.0,2.0,,1,2,1,1,3,3
2,21,6,3,1.0,2.0,,2,2,1.0,2.0,,2,1,1,1,3,3
2,43,3,2,,,,2,2,,,,2,2,1,1,3,5
2,20,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,67,2,6,,,,2,2,,,,1,1,1,2,4,5
2,35,2,6,1.0,,,2,2,,,,2,2,1,1,4,3
2,60,2,4,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,23,8,1,1.0,,,2,2,1.0,2.0,,1,1,1,1,2,4
2,31,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,42,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,17,6,2,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,3
1,25,8,4,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
1,52,3,3,5.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,41,6,3,,,,2,2,,,,2,1,1,1,4,5
2,57,3,3,,,,2,2,,,,2,2,1,1,2,5
1,18,6,2,1.0,1.0,,2,2,1.0,2.0,2.0,1,1,1,3,3,3
2,16,3,3,,,,2,2,,,,1,1,1,2,2,2
1,34,3,3,,,,1,2,,,2.0,1,1,1,3,3,5
2,18,8,1,,,,2,2,,,,2,1,1,1,4,3
2,30,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,22,7,3,,,,2,2,,,,1,1,1,1,4,5
2,39,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,2
2,22,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,29,3,2,1.0,,,2,2,1.0,2.0,2.0,1,1,1,2,4,4
2,49,6,1,1.0,,,2,2,2.0,2.0,2.0,1,1,1,1,4,2
2,41,3,3,,,,2,2,,,,1,2,1,1,1,5
1,46,8,4,,,,1,2,,,,1,2,1,1,4,5
2,42,6,3,5.0,2.0,,2,2,2.0,2.0,,2,2,1,1,4,4
2,52,3,3,,,,2,2,,,2.0,2,1,1,2,4,5
2,46,8,5,5.0,1.0,,1,2,2.0,2.0,2.0,2,2,1,4,4,1
2,27,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,1
2,40,3,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,3
2,30,6,1,1.0,,,2,2,2.0,2.0,,1,2,1,1,1,2
2,37,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,37,6,3,,,,2,2,,,,2,1,1,1,3,5
1,36,10,2,1.0,1.0,,2,1,2.0,1.0,1.0,1,1,1,2,4,3
2,47,5,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,75,3,3,5.0,,2.0,2,2,2.0,2.0,,2,2,1,1,3,3
2,54,2,3,,,,2,2,,,,2,2,1,1,4,5
2,35,2,6,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,23,8,1,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,4
1,42,3,3,1.0,2.0,,2,2,,,,2,1,1,4,1,3
2,48,8,4,1.0,,,2,2,,,,2,2,1,1,2,4
2,56,2,6,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,48,8,4,5.0,,,2,2,2.0,2.0,,1,1,1,2,3,3
2,39,6,3,,,,2,2,,,,2,1,1,1,3,5
2,32,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
1,19,2,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,25,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,23,3,3,1.0,2.0,,2,2,2.0,2.0,,2,2,1,1,3,3
2,33,8,4,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,1
2,45,2,6,,,,2,2,,,,2,1,1,1,2,5
2,16,6,2,,,,2,2,,,,2,2,1,1,4,1
2,65,7,3,,,,2,2,,,,2,1,1,1,2,5
2,82,8,5,,,,2,2,,,,1,1,3,4,4,4
2,34,6,3,5.0,,,2,2,,,2.0,2,1,1,2,4,2
2,31,3,1,,,,2,2,,,,2,2,1,1,1,5
2,38,10,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,40,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,22,3,3,,,,2,2,,,,2,1,1,2,2,5
2,35,7,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,2
2,36,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
2,39,8,1,5.0,,,2,2,,,,1,2,1,2,1,1
2,23,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,3,2,2
2,24,8,2,1.0,2.0,,2,2,,,,2,2,1,1,2,3
2,39,3,3,1.0,,,2,2,,,,1,2,1,1,2,2
1,24,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,35,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,3
2,25,6,3,,,,2,2,,,,2,2,1,1,3,5
1,28,8,5,,,,2,2,1.0,2.0,2.0,1,1,1,2,1,1
2,35,2,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,49,2,6,5.0,,,2,2,,,,2,2,1,1,4,5
2,34,6,1,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,3
2,58,6,1,,,,2,2,,,,1,1,2,1,4,4
2,41,6,2,1.0,,,2,2,2.0,2.0,,2,1,1,1,2,4
2,16,6,1,,2.0,,2,2,2.0,2.0,,2,1,1,1,3,2
2,30,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,3,4,4
2,49,3,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,27,8,5,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,29,3,3,,,,2,2,2.0,2.0,,1,2,1,2,4,3
1,51,3,3,,,,2,2,,,,2,1,1,1,4,5
2,58,5,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,24,8,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,23,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,71,2,4,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,38,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,1
2,25,8,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,18,6,3,,,,2,2,,,,2,1,1,3,4,5
2,40,3,3,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,1,1
2,42,2,6,1.0,2.0,2.0,2,2,3.0,2.0,,2,2,1,1,4,4
1,48,6,2,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,3
2,29,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,3,4,3
2,22,8,3,1.0,,,2,2,,,,2,2,1,1,2,1
1,46,6,3,1.0,2.0,,2,2,2.0,2.0,,2,2,1,1,3,1
2,43,2,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,51,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
1,46,3,3,,,,2,2,,,,1,1,1,1,3,5
2,25,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,1,4
2,29,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
1,50,2,6,5.0,,,2,2,2.0,2.0,,1,1,1,2,2,3
2,22,8,4,1.0,2.0,,2,2,2.0,2.0,2.0,2,1,1,1,3,3
2,30,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,1,4
2,24,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,36,6,3,5.0,,,2,2,,,,2,1,1,2,4,4
2,23,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,44,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,56,6,3,2.0,,,2,2,2.0,2.0,2.0,2,2,1,3,1,2
2,52,6,3,,,,2,2,,,2.0,2,2,1,2,1,1
2,45,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,1
1,58,8,2,1.0,,,1,2,2.0,2.0,2.0,1,1,1,2,4,1
2,45,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,2
2,45,6,3,1.0,,,2,2,2.0,2.0,,2,2,2,2,2,2
2,37,6,3,5.0,,,2,2,,,,1,1,1,1,3,5
2,38,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
1,64,0,0,,,,2,2,,,,1,2,1,1,4,5
2,60,2,6,1.0,,,2,2,1.0,2.0,2.0,2,2,1,2,3,3
2,49,3,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,1
2,73,0,0,6.0,,,2,2,,,,2,2,1,2,3,5
2,38,8,5,5.0,,,2,2,,,,1,1,1,3,3,1
2,27,6,1,5.0,,,2,2,2.0,2.0,,2,1,1,2,4,4
2,37,8,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,1
2,70,3,3,,,,2,2,,,2.0,2,2,1,1,3,5
2,32,6,3,,,,2,2,,,,2,1,1,1,3,5
2,41,8,4,5.0,,,2,2,3.0,3.0,,2,2,1,1,2,4
2,36,8,2,1.0,,,2,2,3.0,2.0,,2,2,1,1,4,2
2,17,6,2,,,,2,2,,,2.0,2,2,1,1,2,2
2,30,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,4
2,60,3,2,,,,2,2,2.0,2.0,,2,2,1,3,3,4
2,26,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,30,8,4,5.0,,,2,2,3.0,3.0,,2,2,1,1,4,3
2,40,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,4
1,28,7,3,1.0,,,2,2,,,,1,1,1,2,4,1
2,54,10,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,1
2,60,3,3,,,,2,2,,,,1,1,1,1,3,5
2,80,2,1,5.0,,,2,2,,,,1,1,1,1,4,5
2,50,3,2,1.0,,,2,2,,,,2,2,1,1,2,2
1,52,2,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,4
2,49,3,2,1.0,,,2,2,,,,2,2,1,1,3,4
2,29,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
1,56,2,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,56,2,4,1.0,,,2,2,2.0,2.0,,1,2,1,3,4,4
1,19,6,3,1.0,2.0,,2,2,2.0,2.0,,1,2,1,3,4,3
2,27,8,5,,,,2,2,,,,2,1,1,1,4,5
2,27,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,5
2,50,2,6,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,35,8,4,1.0,,,2,2,,,,2,2,1,1,3,3
2,49,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,49,3,3,5.0,,,2,2,2.0,2.0,,1,2,1,2,4,4
2,65,2,3,,,,2,2,,,,1,1,1,1,4,5
2,17,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,64,2,2,,,,2,2,,,,1,1,1,1,4,4
2,17,6,2,,,,2,2,,,,1,1,1,2,3,3
2,46,3,3,,,,2,2,,,,2,2,1,2,2,5
2,47,2,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,22,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,45,10,3,1.0,,,2,2,2.0,2.0,2.0,1,1,1,1,1,3
2,56,7,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,24,2,3,,,,2,2,,,,2,2,1,1,4,5
2,30,6,1,1.0,,,2,2,2.0,2.0,,1,1,1,1,2,2
2,19,6,1,,,,2,2,,,,1,1,1,2,4,5
2,25,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,3
2,22,8,2,1.0,,,2,2,,,2.0,2,2,1,1,4,4
1,28,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,3
2,45,3,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,3
2,32,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,41,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,2,3,4
2,25,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,2,1,3
1,68,1,1,,,,2,2,,,,1,1,1,2,4,5
2,23,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,69,8,1,,,,2,2,,,,2,1,1,1,3,5
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,20,8,2,5.0,,,2,2,3.0,3.0,,2,1,1,1,3,1
2,15,3,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,23,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,4
2,43,8,5,1.0,,,2,2,2.0,2.0,2.0,2,1,1,1,4,1
2,20,6,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,4
2,54,10,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,2
2,71,2,5,5.0,,,2,2,,,,1,1,1,1,4,9
1,32,6,2,,,,2,2,,,,1,2,1,1,4,5
2,32,6,3,1.0,,,2,2,,,,2,2,1,2,2,2
2,61,0,0,,,,2,2,,,,2,2,1,2,3,5
2,51,3,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,19,6,1,,,,2,2,,,,1,2,1,1,3,5
2,37,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,4
2,23,6,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,60,2,6,,,,2,2,,,2.0,2,2,1,1,4,5
2,50,3,2,5.0,,,2,2,1.0,2.0,,2,2,1,1,3,3
2,29,3,3,5.0,,,2,2,3.0,3.0,,2,1,1,1,3,5
1,73,2,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,2,4
2,20,8,3,,,,2,2,,,,1,1,1,1,3,5
2,17,6,1,,,,2,2,,,,2,1,1,1,4,3
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,2,3,3
2,20,6,3,1.0,,,2,2,,,,2,2,1,2,3,3
2,56,6,2,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,1
1,18,6,3,,,,2,2,,,,2,1,1,2,2,2
2,51,6,3,5.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,46,5,1,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,2
2,22,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,46,3,3,,,,2,2,,,,2,2,1,1,4,5
2,46,8,5,1.0,,,2,2,2.0,2.0,,1,1,1,1,1,3
2,16,6,1,1.0,,,2,2,2.0,2.0,,2,1,1,1,2,1
2,34,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,40,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,45,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,3,5,3
2,28,6,3,1.0,,,1,2,2.0,2.0,,2,2,1,1,2,2
2,50,2,6,1.0,,,2,2,,,,2,2,1,1,4,4
2,43,3,3,1.0,,,2,2,3.0,3.0,,2,2,1,1,2,2
2,51,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,26,2,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,52,6,3,,,,2,2,,,2.0,1,1,1,1,4,5
2,39,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,20,8,1,1.0,,,2,2,2.0,2.0,,2,2,1,2,3,3
2,18,8,1,,,,2,2,,,,1,1,1,1,4,3
2,34,3,3,5.0,,,2,2,2.0,2.0,,2,1,1,1,3,5
2,38,2,2,5.0,,,2,2,,,2.0,1,2,1,4,4,4
2,20,6,3,,,,2,2,,,,2,2,1,1,3,3
2,58,2,3,5.0,,,2,2,,,,1,2,1,1,4,5
2,60,3,3,,,,2,2,,,,2,2,1,1,4,5
2,65,3,3,5.0,,,2,2,2.0,2.0,,1,1,1,1,4,5
1,56,3,2,5.0,,,2,2,,,,2,2,1,2,1,5
2,24,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,1
2,23,6,1,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
